nome,paese,regione,sub_regione,tipo_partecipazione,data_inizio,data_fine,personale_militare,personale_civile,personale_totale,costo_totale,tipo_missione,commitment
UNIFIL,Libano,Medio Oriente,Levante,civmil,1978-03-19,2025-12-31,800.0,400.0,1200,150000000,ONU,Troops
EUTM Mali,Mali,Africa,Africa Occidentale,mil,2013-02-18,2025-12-31,200.0,50.0,250,45000000,UE,Head of Mission
KFOR,Kosovo,Europa,Balcani,mil,1999-06-12,2025-12-31,350.0,50.0,400,80000000,NATO,Troops
MINURSO,Sahara Occidentale,Africa,Africa Settentrionale,civ,1991-04-29,2025-12-31,5.0,10.0,15,5000000,ONU,Head of Mission
EUBAM Libya,Libia,Africa,Africa Settentrionale,civmil,2013-05-22,2025-12-31,60.0,40.0,100,20000000,UE,Head of Mission
MISIN,Niger,Africa,Africa Occidentale,mil,2018-07-01,2025-12-31,400.0,70.0,470,90000000,ITA,Troops
ISAF,Afghanistan,Asia,Asia Centrale,mil,2001-10-07,2014-12-31,2500.0,300.0,2800,500000000,NATO,Troops
EUFOR,Repubblica Centrafricana,Africa,Africa Centrale,civmil,2014-02-01,2019-03-15,150.0,50.0,200,35000000,UE,Troops
UNMISS,Sudan del Sud,Africa,Africa Orientale,civ,2011-07-09,2025-12-31,20.0,80.0,100,25000000,ONU,Head of Mission
EUTM Somalia,Somalia,Africa,Corno d'Africa,mil,2010-04-07,2025-12-31,180.0,70.0,250,40000000,UE,Head of Mission
UNPROFOR,Bosnia ed Erzegovina,Europa,Balcani,mil,1992-02-21,1995-12-20,1200.0,100.0,1300,200000000,ONU,Troops
IFOR,Bosnia ed Erzegovina,Europa,Balcani,mil,1995-12-20,1996-12-20,1500.0,150.0,1650,250000000,NATO,Troops
SFOR,Bosnia ed Erzegovina,Europa,Balcani,mil,1996-12-20,2004-12-02,800.0,100.0,900,120000000,NATO,Troops
UNMIK,Kosovo,Europa,Balcani,civmil,1999-06-10,2008-06-15,300.0,200.0,500,80000000,ONU,Head of Mission
UNMIL,Liberia,Africa,Africa Occidentale,civmil,2003-09-19,2018-03-30,150.0,100.0,250,45000000,ONU,Troops
MONUC,Repubblica Democratica del Congo,Africa,Africa Centrale,civmil,1999-11-30,2010-06-30,200.0,150.0,350,60000000,ONU,Troops
MONUSCO,Repubblica Democratica del Congo,Africa,Africa Centrale,civmil,2010-07-01,2025-12-31,250.0,200.0,450,75000000,ONU,Troops
UNOCI,Costa d'Avorio,Africa,Africa Occidentale,civmil,2004-04-04,2017-06-30,180.0,120.0,300,55000000,ONU,Troops
UNMIS,Sudan,Africa,Africa Orientale,civ,2005-03-24,2011-07-09,50.0,100.0,150,30000000,ONU,Head of Mission
UNAMID,Darfur,Africa,Africa Orientale,civmil,2007-07-31,2020-12-31,300.0,250.0,550,90000000,ONU,Troops
UNIKOM,Iraq-Kuwait,Medio Oriente,Golfo Persico,mil,1991-04-09,2003-10-06,50.0,30.0,80,15000000,ONU,Troops
UNSCOM,Iraq,Medio Oriente,Golfo Persico,civ,1991-04-03,1999-12-17,20.0,80.0,100,25000000,ONU,Head of Mission
UNMOVIC,Iraq,Medio Oriente,Golfo Persico,civ,1999-12-17,2003-03-19,15.0,85.0,100,20000000,ONU,Head of Mission
UNSMIH,Haiti,America,Caraibi,civmil,1996-07-01,1997-06-30,100.0,50.0,150,25000000,ONU,Troops
UNTMIH,Haiti,America,Caraibi,civmil,1997-08-01,1997-11-30,80.0,40.0,120,20000000,ONU,Troops
MIPONUH,Haiti,America,Caraibi,civmil,1997-12-01,2000-03-15,90.0,60.0,150,30000000,ONU,Troops
MINUSTAH,Haiti,America,Caraibi,civmil,2004-06-01,2017-10-15,200.0,150.0,350,60000000,ONU,Troops
MINUJUSTH,Haiti,America,Caraibi,civmil,2017-10-16,2019-10-15,100.0,100.0,200,40000000,ONU,Troops
BINUH,Haiti,America,Caraibi,civ,2019-10-16,2025-12-31,30.0,170.0,200,35000000,ONU,Head of Mission
